f1,precision,recall,balanced_accuracy,false_alert_rate,tn,fp,fn,tp,method,threshold,seed,severity
0.8444703822585352,0.7933114035087719,0.9026824703680599,0.8630094638625679,0.17666354264292408,1757,377,156,1447,Mean Late Fusion,0.43,0,0.8
0.8543748107780805,0.83,0.8802245789145352,0.8723990748368364,0.13542642924086223,1845,289,192,1411,Max OR Fusion,0.7000000000000001,0,0.8
0.8407245471580262,0.841776110068793,0.8396756082345602,0.8605594536018162,0.11855670103092783,1881,253,257,1346,Min Agreement Fusion,0.36000000000000004,0,0.8
0.8491921005385996,0.8159861989649224,0.885215221459763,0.8676310409079508,0.14995313964386128,1814,320,184,1419,Product Agreement Fusion,0.18000000000000002,0,0.8
0.8579234972677595,0.8356002365464222,0.8814722395508422,0.8756002247426189,0.1302717900656045,1856,278,190,1413,Naive Independence,0.81,0,0.8
0.8481432360742706,0.9051663128096249,0.7978789769182782,0.8675430498462057,0.06279287722586692,2000,134,324,1279,Rule AND Tuned,0.48000000000000004,0,0.8
0.8543748107780805,0.83,0.8802245789145352,0.8723990748368364,0.13542642924086223,1845,289,192,1411,Rule OR Tuned,0.7000000000000001,0,0.8
0.8782831518257527,0.9025674786043449,0.8552713661883967,0.8929590195515554,0.06935332708528585,1986,148,232,1371,Calibrated Logistic Fusion,0.67,0,0.8
0.8899739583333334,0.9305650102110279,0.852776044915783,0.9024892408271511,0.04779756326148079,2032,102,236,1367,Temporal Logistic Fusion,0.6900000000000001,0,0.8
0.8760655737704918,0.9232895646164478,0.8334373050530256,0.8907111548695306,0.052014995313964384,2023,111,267,1336,Temporal Extra Trees,0.54,0,0.8
0.8821393199075602,0.9368863955119214,0.8334373050530256,0.8956314922640949,0.04217432052483599,2044,90,267,1336,Temporal Random Forest,0.51,0,0.8
0.8859191655801826,0.9276450511945392,0.8477854023705552,0.8990567124317631,0.04967197750702906,2028,106,244,1359,Temporal HistGradientBoosting,0.42000000000000004,0,0.8
0.8705198579270261,0.9022757697456493,0.8409232688708671,0.8862535744541777,0.06841611996251172,1988,146,255,1348,Camera Only,0.63,0,1.0
0.7827096025529446,0.7315618221258134,0.8415470991890206,0.8047941681512114,0.23195876288659795,1639,495,254,1349,Accelerometer Only,0.51,0,1.0
0.8394561758750362,0.7826321467098166,0.9051777916406737,0.8581652782008429,0.1888472352389878,1731,403,152,1451,Mean Late Fusion,0.42000000000000004,0,1.0
0.8537404580152672,0.8361244019138756,0.8721147847785402,0.871858704479242,0.12839737582005623,1860,274,205,1398,Max OR Fusion,0.72,0,1.0
0.8368617683686177,0.8353014294592915,0.8384279475982532,0.8571240019153403,0.12417994376757263,1869,265,259,1344,Min Agreement Fusion,0.36000000000000004,0,1.0
0.8463157894736842,0.8170731707317073,0.8777292576419214,0.8650595679024977,0.14761012183692596,1819,315,196,1407,Product Agreement Fusion,0.19,0,1.0
0.8540278619018776,0.8298999411418482,0.8796007485963818,0.8720871596777597,0.13542642924086223,1845,289,193,1410,Naive Independence,0.81,0,1.0
0.8437396762471093,0.8967696629213483,0.7966313162819713,0.8638732963790363,0.06888472352389878,1987,147,326,1277,Rule AND Tuned,0.47000000000000003,0,1.0
0.8537404580152672,0.8361244019138756,0.8721147847785402,0.871858704479242,0.12839737582005623,1860,274,205,1398,Rule OR Tuned,0.72,0,1.0
0.8741594620557157,0.8980263157894737,0.851528384279476,0.8894474161322403,0.07263355201499531,1979,155,238,1365,Calibrated Logistic Fusion,0.67,0,1.0
0.8782752902155887,0.9376770538243626,0.825951341235184,0.8923571139165611,0.041237113402061855,2046,88,279,1324,Temporal Logistic Fusion,0.75,0,1.0
